name,cuisine,rating,price_for_two,address,area,latitude,longitude,image_urls,phone,popular_dishes,ambiance_tags,url
Samosa Hub,,3.1,₹100,,Samosa Hub 2 Shahdara New Delhi,28.69898,77.27082,"https://b.zmtcdn.com/data/pictures/1/19770611/b51b1330e4dae727f4a943f75ddd87cf.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/1/19770611/4aa1e9ed6582d84844614145164c4427.jpg, https://b.zmtcdn.com/data/reviews_photos/cc4/e4d258345533888d9ba9fc1980c90cc4_1633871190.jpg, https://b.zmtcdn.com/data/reviews_photos/95b/d265e1164f7d921c3c1a2d7da794195b_1641129364.jpg",,,"Bar, Cafe, Family",https://www.zomato.com/ncr/samosa-hub-2-shahdara-new-delhi/info
"Sector 18 Restaurants, Noida",,4.4,"₹1,600",,,,,"https://b.zmtcdn.com/data/pictures/7/20480577/103323aa3968b63a496f852a440457f5_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/20517020/a9453f4408d844bfe560460d66bd9c10_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/6/19257786/51aa6cb08e9977a96432be5718b80bad_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/5/18740145/a05fc1e38f954ead38e3958385a00aa3_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/7/19207177/c40348d63a3957bbbe71825a25482a23_featured_v2.jpg",,,"Romantic, Casual Dining, Bar, Cafe, Fine Dining",https://www.zomato.com/hi/ncr/sector-18-noida-restaurants
"Sector 18 Restaurants, Noida",,4.0,₹200,,,,,"https://b.zmtcdn.com/data/pictures/6/18393406/2e4b11e011efa8385451ba7c334bf011_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/18903220/96a4df8879850a72288ba4362d6ddc7a_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/chains/2/8062/f9d3abe6fab85b18d357ff0e8b982813_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/2/8072/bf61e58a9e104a42742b92de71d77ab6_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/19574320/ec51d69f11193a05a5f28906ac9bde3f_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/tr/ncr/restoranlar/dhaba
"Sector 18 Restaurants, Noida",,3.7,₹200,,,,,"https://b.zmtcdn.com/data/pictures/6/19900596/c669b34b4b05f6e6f1a37e926f3fff1d_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/5/19849355/f9723cd85c2aeb222bfc2c179c668fd5_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/7/19199217/1264129b05cc01c593e6d380809b641a_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/4/20682704/de01fa5cc36cd8a344437463391b3717_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/5/20646075/f0a2b937275563e94e5415313e4ef1f9_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/tr/ncr/restoranlar/kiosk
Ten Twenty Two - 1022,,3.9,"₹2,200",,Ten Twenty Two 1022 Sda New Delhi,28.5434217008,77.2012509406,"https://b.zmtcdn.com/data/pictures/2/20581872/fcf54450d2ff080d6e518e357c86603a.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/2/20581872/7c8587ef8219294f17865b8f1c81dae6.jpg, https://b.zmtcdn.com/data/pictures/2/20581872/b03674c5f8bf1ef6c1b7cb3b11c1d0a8.jpg, https://b.zmtcdn.com/data/pictures/2/20581872/fa3bd0a8aa50f0b532ea8f21dc1797b8.jpg",,,"Romantic, Casual Dining, Bar, Cafe, Family",https://www.zomato.com/ncr/ten-twenty-two-1022-sda-new-delhi/info
"Sector 18 Restaurants, Noida",,4.2,₹450,,Restaurants,,,"https://b.zmtcdn.com/data/pictures/chains/7/18992177/a470217fe395adc302cf3979d84cad13_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/4/21317124/520c8ca674772b65f1809c2b464cf814_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/6/20482066/138159cda4673c727756dd800363d2a9_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/chains/1/301011/3f6f7bb6262ebc5cff5da67326b0a0d3_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/3/20573073/5ac447e08b09d5853e2cbfc5130b0604_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/ncr/restaurants/beverage-shop
Best Food in Delhi NCR,,4.5,,,,,,"https://b.zmtcdn.com/data/pictures/chains/0/18204820/3c0fd979123367a02885ef16467345ae_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/21844770/04066b907d3bb1c9fb0845d9819fb06c_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/7/21209117/b6ed07abc6618d2da3e7b3f77dee08e9_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/9/19176919/3b5813a98f6a12478c57f26ef7a074ca_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/5/21805715/a0b4a924606dcde51580be136d2b4221_featured_v2.jpg",,,"Romantic, Bar, Cafe, Family, Lounge",https://www.zomato.com/te/ncr/restaurants/west-delhi/paschim-hfenjovjux%22%3E%7Dnlhbiqsftc/&BelandaAngelized=$'$%60hadoebgkve$'$%60
Shree Khatu Shyam Food Corner,,3.5,₹100,,Shree Khatu Shyam Food Corner Gaur City 1 Greater Noida,,,"https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/menus/023/20738023/77b703d49faae35f97631230d17dde66.jpg, https://b.zmtcdn.com/data/o2_assets/800315731f7ad44396cbac9e69d89f721613462226.png, https://b.zmtcdn.com/data/o2_assets/cd2a4c009a73c5bbb7831557f1a5b56d1613463455.png",,,"Bar, Family",https://www.zomato.com/ncr/shree-khatu-shyam-food-corner-gaur-city-1-greater-noida/info
Sharma Chaat Bhandar,,4.0,₹100,,Sharma Chaat Bhandar Amar Colony New Delhi,28.5625882373,77.2448385134,"https://b.zmtcdn.com/data/pictures/9/9899/08c626130da22d26c9f8e2da1daee1f0.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/9/9899/659eb39c42feb1ef527eae00a58fa46e_featured_v2.jpg, https://b.zmtcdn.com/data/reviews_photos/7f2/3b026a6ec9b23fdcea522ca317f6b7f2_1513345827.jpg, https://b.zmtcdn.com/data/reviews_photos/ab7/4127155c2eb19fc7ef607cf6e4868ab7_1501937128.jpg",,,"Bar, Family",https://www.zomato.com/ncr/sharma-chaat-bhandar-amar-colony-new-delhi/info
Ciel,,3.9,"₹1,500",,,28.694506,77.217083,"https://b.zmtcdn.com/data/pictures/chains/2/21590122/2ae2caacd0c01349f9f6af959df91c32.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/reviews_photos/c86/e378223f62c52280f94630b9324ecc86_1737790120.jpg, https://b.zmtcdn.com/data/pictures/7/21583507/f5f6445ebd0c96df168f85a17f0a0817.jpg, https://b.zmtcdn.com/data/pictures/7/21583507/37d97591dcb6164bebd6b3edb9a57c46_featured_v2.jpg",,,"Casual Dining, Bar, Family",https://www.zomato.com/hi/ncr/ciel-civil-lines-new-delhi/info
Lala Ji Puri Wale,,3.7,₹100,,Lala Ji Puri Wale 1 Vikaspuri New Delhi,28.6385962458,77.078166628,"https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/9/21090959/19cb15e285b938445c07eff8c531c9b7_o2_featured_v2.jpg, https://b.zmtcdn.com/data/menus/959/21090959/ee0f30f1526bb640ce85e20a60c207cd.jpg, https://b.zmtcdn.com/data/pictures/9/21090959/5bb7e28f07e4cc3f384f5b3baed03246_featured_v2.jpg, https://b.zmtcdn.com/data/o2_assets/800315731f7ad44396cbac9e69d89f721613462226.png",,,"Bar, Family",https://www.zomato.com/ncr/lala-ji-puri-wale-1-vikaspuri-new-delhi/info
Chache Di Hatti,,4.4,₹100,,,28.6823130571,77.2058257833,"https://b.zmtcdn.com/data/reviews_photos/7ef/5408f436c7b65b02352d8e16fc22b7ef_1566451471.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/3/6043/fd7a8acece4d1e2490bc8a642f7eee1e_featured_v2.jpg, https://b.zmtcdn.com/data/reviews_photos/524/465727a86a462d9a8b43a6ee700b2524_1532196046.jpg, https://b.zmtcdn.com/data/reviews_photos/7af/70d420106f205bbcf6f9bb428c5917af_1495585215.jpg",,,"Bar, Family",https://www.zomato.com/tr/ncr/chache-di-hatti-kamla-nagar-new-delhi/info
